name	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1981	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU1982	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__norank	s__norank
OTU1983	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU1984	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__norank	g__norank	s__norank
OTU1985	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Ellin6055	s__norank
OTU1986	k__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__norank
OTU1987	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sandarakinorhabdus	s__norank
OTU1988	k__Bacteria	p__unidentified_Bacteria	c__Oligoflexia	o__Oligoflexales	f__norank	g__norank	s__norank
OTU1989	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU1990	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Competibacterales	f__Competibacteraceae	g__Candidatus_Competibacter	s__norank
OTU1991	k__Bacteria	p__Planctomycetes	c__unidentified_Planctomycetes	o__Isosphaerales	f__Isosphaeraceae	g__Isosphaera	s__norank
OTU1992	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__norank
OTU1993	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Coxiellales	f__Coxiellaceae	g__Coxiella	s__norank
OTU1994	k__Bacteria	p__Spirochaetota	c__Brevinematia	o__Brevinematales	f__Brevinemataceae	g__Brevinema	s__norank
OTU1995	k__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio_magneticus
OTU1996	k__Bacteria	p__unidentified_Bacteria	c__Alphaproteobacteria	o__Holosporales	f__Holosporaceae	g__norank	s__norank
OTU1997	k__Bacteria	p__unidentified_Bacteria	c__Acidimicrobiia	o__Microtrichales	f__norank	g__norank	s__norank
OTU1998	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Roseomonas	s__Roseomonas_ludipueritiae
OTU1999	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__norank	s__norank
OTU2000	k__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Chloroplast	f__norank	g__norank	s__norank
OTU2001	k__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__Haliangium	s__norank
OTU2002	k__Bacteria	p__unidentified_Bacteria	c__Oligoflexia	o__Oligoflexales	f__norank	g__norank	s__norank
OTU2003	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Ellin6067	s__Betaproteobacteria_bacterium_GR16-43
OTU2004	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2005	k__Bacteria	p__unidentified_Bacteria	c__Bacteroidia	o__Cytophagales	f__Microscillaceae	g__norank	s__norank
OTU2006	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__Porphyromonas_sp_oral_clone_HF001
OTU2007	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__norank	g__norank	s__norank
OTU2008	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2009	k__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__norank	s__norank
OTU2010	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__RBG-13-54-9	f__norank	g__norank	s__norank
OTU2011	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__Ktedonobacterales	f__Ktedonobacteraceae	g__JG30a-KF-32	s__norank
OTU2012	k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Terrimicrobiaceae	g__Terrimicrobium	s__norank
OTU2013	k__Bacteria	p__unidentified_Bacteria	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__norank	s__norank
OTU2014	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Competibacterales	f__Competibacteraceae	g__Candidatus_Competibacter	s__norank
OTU2015	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__norank
OTU2016	k__Bacteria	p__unidentified_Bacteria	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__norank	s__norank
OTU2017	k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__norank
OTU2018	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2019	k__Bacteria	p__Entotheonellaeota	c__Entotheonellia	o__Entotheonellales	f__Entotheonellaceae	g__norank	s__norank
OTU2020	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Labraceae	g__Labrys	s__norank
OTU2021	k__Bacteria	p__Firmicutes	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2022	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__norank	s__norank
OTU2023	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Spongiibacteraceae	g__norank	s__norank
OTU2024	k__Bacteria	p__unidentified_Bacteria	c__unidentified_Bacteria	o__Gemmatales	f__Gemmataceae	g__norank	s__norank
OTU2025	k__Bacteria	p__unidentified_Bacteria	c__Babeliae	o__Babeliales	f__norank	g__norank	s__norank
OTU2026	k__Bacteria	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospiraceae_NK4A136_group	s__norank
OTU2027	k__Bacteria	p__unidentified_Bacteria	c__Syntrophobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__norank	s__norank
OTU2028	k__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__Haliangium	s__norank
OTU2029	k__Bacteria	p__unidentified_Bacteria	c__unidentified_Bacteria	o__Gemmatales	f__Gemmataceae	g__norank	s__norank
OTU2030	k__Bacteria	p__Nitrospirota	c__4-29-1	o__norank	f__norank	g__norank	s__norank
OTU2031	k__Bacteria	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__ASF356	s__norank
OTU2032	k__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Anaerovoracaceae	g__[Eubacterium]_brachy_group	s__norank
OTU2033	k__Bacteria	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__norank	s__norank
OTU2034	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_paurosaccharolyticus
OTU2035	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2036	k__Bacteria	p__unidentified_Bacteria	c__Vicinamibacteria	o__Vicinamibacterales	f__norank	g__norank	s__norank
OTU2037	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__norank	g__norank	s__norank
OTU2038	k__Bacteria	p__Cyanobacteria	c__Sericytochromatia	o__norank	f__norank	g__norank	s__norank
OTU2039	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2040	k__Bacteria	p__Elusimicrobia	c__unidentified_Elusimicrobia	o__Lineage_IV	f__norank	g__norank	s__norank
OTU2041	k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Candidatus_Udaeobacter	s__norank
OTU2042	k__Bacteria	p__unidentified_Bacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__norank	s__norank
OTU2043	k__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__norank	g__norank	s__norank
OTU2044	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__JG36-TzT-191	f__norank	g__norank	s__norank
OTU2045	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__B1-7BS	g__norank	s__norank
OTU2046	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2047	k__Bacteria	p__Actinobacteriota	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2048	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2049	k__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__norank
OTU2050	k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bryobacter	s__norank
OTU2051	k__norank	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
