	ct1	ct2	ct3	ct4	ct5	ct6	yl1	yl2	yl3	yl4	yl5	yl6	ml1	ml2	ml3	ml4	ml5	ml6	xl1	xl2	xl3	xl4	xl5	xl6	hl1	hl2	hl3	hl4	hl5	hl6
OTU48	5	5	18	5	0	16	0	3	2	1	0	4	1	3	1	2	1	1	0	1	0	3	0	3	0	0	1	3	0	0
OTU49	3	4	0	3	1	1	1	1	2	1	0	3	1	0	2	1	0	0	2	3	2	3	1	0	4	6	10	19	2	0
OTU50	2	2	1	1	0	1	0	1	1	1	0	2	1	0	4	3	0	0	4	6	8	2	1	0	2	1	4	2	1	0
OTU51	5	2	6	0	1	15	2	1	0	1	0	2	1	1	3	6	1	0	2	1	2	3	0	0	0	2	3	12	0	2
OTU52	3	2	19	7	10	9	1	2	2	1	0	4	2	3	1	5	0	1	1	0	1	1	0	1	2	0	0	4	0	0
OTU53	0	0	0	0	0	0	2	1	7	1	1	2	0	0	0	0	0	0	20	5	49	1	0	0	2	2	5	6	4	1
OTU54	8	8	19	14	10	9	2	2	2	6	0	6	6	4	3	4	0	0	9	7	2	1	2	0	5	2	5	21	2	1
OTU55	23	20	32	3	5	42	6	2	5	9	3	6	5	4	6	17	2	4	4	10	4	3	4	5	3	2	3	8	1	1
OTU56	2	13	5	4	1	2	0	2	1	1	0	1	2	2	0	4	0	0	2	2	7	1	0	1	7	0	1	3	1	1
OTU57	1	4	15	5	8	9	0	2	3	2	0	2	2	6	3	6	0	1	3	1	0	2	0	0	4	5	1	6	1	1
OTU58	0	11	0	1	4	10	2	0	6	8	3	0	0	0	0	0	0	0	7	2	4	1	4	0	0	0	0	0	2	0
OTU59	4	8	10	7	10	7	6	3	2	1	0	7	2	3	7	9	2	0	13	4	1	5	0	0	1	3	3	19	1	3
OTU60	0	1	0	1	2	1	0	0	0	0	3	5	0	0	0	0	0	2	0	0	2	3	3	12	0	0	1	1	0	1
OTU61	1	6	9	3	4	4	0	1	3	4	0	3	0	7	1	9	3	2	0	12	8	2	0	0	3	0	2	20	2	1
OTU62	1	2	0	5	4	3	3	2	0	1	0	2	3	2	0	2	1	0	3	4	1	0	0	0	0	5	1	7	0	0
OTU63	0	1	1	0	0	1	0	0	2	1	5	0	0	4	14	2	0	1	0	2	1	1	0	0	1	0	4	1	1	2
OTU64	2	2	8	6	9	7	1	3	3	2	0	1	1	0	1	1	0	1	2	0	3	2	0	1	1	1	2	0	0	0
OTU65	1	1	3	2	3	2	0	1	1	1	1	0	1	4	1	2	0	0	0	1	1	1	0	0	4	0	2	2	0	0
OTU66	10	0	6	1	0	13	2	1	1	0	1	0	3	1	2	1	0	0	0	1	0	4	0	0	2	1	1	0	0	0
OTU67	0	1	1	0	0	2	6	1	0	0	0	0	1	5	3	4	1	6	0	0	0	0	0	0	0	0	0	1	3	1
