OTUID,V2
OTU433,ml
OTU433,yl
OTU434,ct
OTU434,xl
OTU435,ml
OTU436,yl
OTU437,hl
OTU437,xl
OTU438,ct
OTU438,hl
OTU439,ct
OTU44,ct
OTU44,hl
OTU44,ml
OTU44,xl
OTU44,yl
OTU440,ct
OTU441,hl
OTU441,xl
OTU442,ct
OTU442,hl
OTU442,yl
OTU443,hl
OTU443,xl
OTU443,yl
OTU444,ct
OTU444,hl
OTU444,yl
OTU445,ct
OTU445,yl
OTU446,ct
OTU446,xl
OTU447,hl
OTU447,ml
OTU448,xl
OTU449,ct
OTU45,ct
OTU45,hl
OTU45,ml
OTU45,xl
OTU45,yl
OTU450,hl
OTU451,ct
OTU451,yl
OTU452,hl
OTU452,ml
OTU452,xl
OTU453,hl
OTU453,ml
OTU454,yl
OTU455,ct
OTU455,xl
OTU456,yl
OTU457,hl
OTU459,hl
OTU459,ml
OTU459,xl
OTU46,ct
OTU46,hl
OTU46,ml
OTU46,xl
OTU46,yl
OTU460,ct
OTU460,hl
OTU460,ml
OTU460,xl
OTU460,yl
OTU461,xl
OTU462,ml
OTU463,ct
OTU463,ml
OTU464,ct
OTU465,xl
OTU465,yl
OTU466,ct
OTU467,hl
OTU467,ml
OTU468,hl
OTU468,ml
OTU47,ct
OTU47,hl
OTU47,ml
OTU47,xl
OTU47,yl
OTU470,ml
OTU471,hl
OTU471,ml
OTU472,ct
OTU472,xl
OTU473,hl
OTU473,ml
OTU474,ct
OTU475,xl
OTU477,ct
OTU477,hl
OTU477,ml
OTU478,ml
OTU478,xl
OTU479,hl
OTU479,ml
OTU48,ct
OTU48,hl
OTU48,ml
OTU48,xl
OTU48,yl
OTU480,ct
OTU480,yl
OTU481,ct
OTU481,hl
OTU481,ml
OTU481,xl
OTU481,yl
OTU482,ct
OTU482,hl
OTU482,ml
OTU483,ct
OTU483,ml
OTU484,ct
OTU485,ct
OTU486,ct
OTU486,xl
OTU487,ml
OTU488,hl
OTU488,ml
OTU489,yl
OTU49,ct
OTU49,hl
OTU49,ml
OTU49,xl
OTU49,yl
OTU490,ml
OTU491,yl
OTU492,ct
OTU492,ml
OTU493,ct
OTU494,hl
OTU495,ct
OTU495,ml
OTU496,hl
OTU497,ml
OTU498,xl
OTU498,yl
OTU499,yl
OTU5,ct
OTU5,hl
OTU5,ml
OTU5,xl
OTU5,yl
OTU50,ct
OTU50,hl
OTU50,ml
OTU50,xl
OTU50,yl
OTU500,hl
OTU500,ml
OTU501,ct
OTU501,yl
OTU502,ct
OTU502,ml
OTU502,xl
OTU502,yl
OTU503,ct
OTU503,hl
OTU503,ml
OTU503,yl
OTU504,ct
OTU504,ml
OTU504,xl
OTU505,yl
OTU506,ml
OTU507,ml
OTU508,xl
OTU51,ct
OTU51,hl
OTU51,ml
OTU51,xl
OTU51,yl
OTU510,ct
OTU511,yl
OTU512,ct
OTU512,ml
OTU512,yl
OTU513,hl
OTU513,xl
OTU515,hl
OTU515,xl
OTU518,ct
OTU52,ct
OTU52,hl
OTU52,ml
OTU52,xl
OTU52,yl
OTU520,ct
OTU520,hl
OTU520,ml
OTU520,xl
OTU521,hl
OTU522,xl
OTU523,ct
OTU523,hl
OTU523,ml
OTU524,xl
OTU524,yl
OTU525,xl
OTU526,hl
OTU528,hl
OTU529,ml
OTU53,hl
OTU53,xl
OTU53,yl
OTU530,ml
OTU530,xl
OTU531,ct
OTU532,ct
OTU532,ml
OTU532,xl
OTU533,ct
OTU533,xl
OTU534,xl
OTU534,yl
OTU536,yl
OTU537,ct
OTU538,yl
OTU539,ct
OTU539,yl
OTU54,ct
OTU54,hl
OTU54,ml
OTU54,xl
OTU54,yl
OTU540,ct
OTU541,ct
OTU541,hl
OTU541,yl
OTU542,yl
OTU544,ct
OTU544,yl
OTU545,ct
OTU545,ml
OTU546,ct
OTU546,ml
OTU547,ct
OTU548,xl
OTU548,yl
OTU549,ml
OTU55,ct
OTU55,hl
OTU55,ml
OTU55,xl
OTU55,yl
OTU550,hl
OTU551,ct
OTU551,yl
OTU552,ct
OTU552,hl
OTU554,xl
OTU555,ml
OTU555,yl
OTU556,ct
OTU556,hl
OTU556,yl
OTU557,xl
OTU557,yl
OTU558,yl
OTU56,ct
OTU56,hl
OTU56,ml
OTU56,xl
OTU56,yl
OTU560,hl
OTU561,xl
OTU563,xl
OTU566,xl
OTU567,hl
OTU567,xl
OTU568,ml
OTU568,xl
OTU57,ct
OTU57,hl
OTU57,ml
OTU57,xl
OTU57,yl
OTU571,yl
OTU572,hl
OTU572,ml
OTU573,hl
OTU573,xl
OTU574,hl
OTU575,ct
OTU576,ct
OTU577,ct
OTU577,yl
OTU579,yl
OTU58,ct
OTU58,hl
OTU58,xl
OTU58,yl
OTU580,hl
OTU581,ct
OTU581,hl
OTU582,hl
OTU582,xl
OTU583,yl
OTU584,ct
OTU584,xl
OTU585,hl
OTU585,xl
OTU585,yl
OTU587,hl
OTU588,xl
OTU589,ct
OTU59,ct
OTU59,hl
OTU59,ml
OTU59,xl
OTU59,yl
OTU590,hl
OTU592,hl
OTU592,ml
OTU592,xl
OTU593,xl
OTU593,yl
OTU594,hl
OTU596,xl
OTU6,ct
OTU6,hl
OTU6,ml
OTU6,xl
OTU6,yl
OTU60,ct
OTU60,hl
OTU60,ml
OTU60,xl
OTU60,yl
OTU600,xl
OTU601,ml
OTU603,ct
OTU603,ml
OTU604,ml
OTU604,xl
OTU605,hl
OTU605,ml
OTU606,yl
OTU607,yl
OTU609,yl
OTU61,ct
OTU61,hl
OTU61,ml
OTU61,xl
OTU61,yl
OTU610,hl
OTU610,ml
OTU612,hl
OTU612,ml
OTU613,xl
OTU614,ct
OTU615,hl
OTU616,ct
OTU617,xl
OTU619,yl
OTU62,ct
OTU62,hl
OTU62,ml
OTU62,xl
OTU62,yl
OTU622,ct
OTU622,ml
OTU623,xl
OTU625,yl
OTU627,hl
OTU627,ml
OTU628,ct
OTU628,hl
OTU628,ml
OTU628,xl
OTU628,yl
OTU629,ct
OTU63,ct
OTU63,hl
OTU63,ml
OTU63,xl
OTU63,yl
OTU630,ct
OTU631,ct
OTU631,hl
OTU632,ct
OTU636,hl
OTU638,ct
OTU638,hl
OTU638,xl
OTU638,yl
OTU64,ct
OTU64,hl
OTU64,ml
OTU64,xl
OTU64,yl
OTU640,hl
OTU641,ct
OTU644,ct
OTU644,ml
OTU644,yl
OTU645,xl
OTU645,yl
OTU646,ct
OTU646,hl
OTU647,ct
OTU647,ml
OTU65,ct
OTU65,hl
OTU65,ml
OTU65,xl
OTU65,yl
OTU651,yl
OTU653,ct
OTU653,yl
OTU654,ml
OTU654,xl
OTU655,ct
OTU656,ct
OTU656,hl
OTU656,ml
OTU656,xl
OTU656,yl
OTU657,yl
OTU66,ct
OTU66,hl
OTU66,ml
OTU66,xl
OTU66,yl
OTU660,ct
OTU660,yl
OTU661,ct
OTU662,xl
OTU663,yl
OTU664,ct
OTU664,ml
OTU664,yl
OTU666,ct
OTU667,ct
OTU668,hl
OTU67,ct
OTU67,hl
OTU67,ml
OTU67,yl
OTU670,ct
OTU671,xl
OTU671,yl
OTU672,hl
OTU672,yl
OTU674,ct
OTU674,hl
OTU675,ct
OTU675,ml
OTU675,xl
OTU675,yl
OTU676,ml
OTU677,ct
OTU677,hl
OTU677,ml
OTU677,xl
OTU677,yl
OTU678,ct
OTU678,hl
OTU678,ml
OTU678,yl
OTU679,ct
OTU68,ct
OTU68,hl
OTU68,ml
OTU68,yl
OTU680,ml
OTU682,ct
OTU683,ct
OTU684,yl
OTU685,hl
OTU685,xl
OTU685,yl
OTU686,xl
OTU688,ct
OTU689,hl
OTU689,ml
OTU69,ct
OTU69,hl
OTU69,ml
OTU69,xl
OTU69,yl
OTU690,ct
OTU690,xl
OTU690,yl
OTU693,ct
OTU693,xl
OTU693,yl
OTU695,hl
OTU696,hl
OTU697,ct
OTU697,yl
OTU7,ct
OTU7,hl
OTU7,ml
OTU7,xl
OTU7,yl
OTU70,ct
OTU70,hl
OTU70,ml
OTU70,xl
OTU70,yl
OTU702,ct
OTU702,yl
OTU703,yl
OTU705,xl
OTU708,ct
OTU71,hl
OTU71,ml
OTU710,hl
OTU710,xl
OTU712,hl
OTU712,ml
OTU714,ct
OTU714,xl
OTU716,ct
OTU716,ml
OTU719,hl
OTU72,ct
OTU72,hl
OTU72,ml
OTU72,xl
OTU72,yl
OTU720,ct
OTU720,ml
OTU720,xl
OTU721,ct
OTU724,ct
OTU724,hl
OTU728,hl
OTU73,ct
OTU73,hl
OTU73,ml
OTU73,xl
OTU73,yl
OTU731,ct
OTU731,xl
OTU732,yl
OTU733,ml
OTU735,hl
OTU735,xl
OTU737,hl
OTU737,ml
OTU738,hl
OTU739,yl
OTU74,xl
OTU74,yl
OTU740,ct
OTU740,ml
OTU741,hl
OTU742,hl
OTU742,xl
OTU743,ct
OTU743,xl
OTU744,ct
OTU746,ct
OTU747,hl
OTU748,ml
OTU749,ct
OTU75,ct
OTU75,hl
OTU75,ml
OTU75,xl
OTU75,yl
OTU750,hl
OTU752,ct
OTU752,xl
OTU753,ml
OTU754,ct
OTU754,ml
OTU756,ct
OTU756,hl
OTU757,hl
OTU757,ml
OTU758,hl
OTU759,ct
OTU759,ml
OTU76,ct
OTU76,hl
OTU76,ml
OTU76,xl
OTU76,yl
OTU763,ml
OTU764,xl
OTU765,hl
OTU765,yl
OTU766,ct
OTU768,hl
OTU769,ct
OTU77,ct
OTU77,hl
OTU77,ml
OTU77,xl
OTU77,yl
OTU771,ct
OTU771,yl
OTU775,ml
OTU776,yl
OTU777,ct
OTU777,yl
OTU778,ct
OTU78,ct
OTU78,hl
OTU78,ml
OTU78,xl
OTU78,yl
OTU781,hl
OTU781,ml
OTU783,hl
OTU783,ml
OTU784,xl
OTU788,xl
OTU789,hl
OTU789,ml
OTU79,ct
OTU79,hl
OTU79,ml
OTU79,yl
OTU790,ct
OTU790,hl
OTU790,ml
OTU790,xl
OTU790,yl
OTU791,ct
OTU791,ml
OTU792,hl
OTU793,yl
OTU794,hl
OTU795,yl
OTU796,ct
OTU798,hl
OTU798,ml
OTU8,ct
OTU8,hl
OTU8,ml
OTU8,xl
OTU8,yl
OTU80,ct
OTU80,hl
OTU80,ml
OTU80,xl
OTU80,yl
OTU801,ct
OTU802,hl
OTU803,ct
OTU805,ct
OTU805,ml
OTU807,yl
OTU808,hl
OTU809,ml
OTU81,ct
OTU81,hl
OTU81,ml
OTU81,xl
OTU81,yl
OTU810,hl
OTU813,xl
OTU814,yl
OTU818,hl
OTU819,ct
OTU82,ct
OTU82,hl
OTU82,ml
OTU82,xl
OTU82,yl
OTU821,yl
OTU822,hl
OTU822,ml
OTU823,ct
OTU826,ct
OTU827,yl
OTU83,ct
OTU83,hl
OTU83,ml
OTU83,xl
OTU83,yl
OTU830,hl
OTU831,ct
OTU832,ct
OTU832,hl
OTU832,ml
OTU832,yl
OTU836,hl
OTU836,xl
OTU837,xl
OTU84,ct
OTU84,hl
OTU84,ml
OTU84,xl
OTU84,yl
OTU840,ct
OTU841,ct
OTU841,yl
OTU842,ml
OTU849,xl
OTU85,ct
OTU85,hl
OTU85,ml
OTU85,xl
OTU85,yl
OTU850,xl
OTU851,hl
OTU851,ml
OTU852,ct
OTU853,ct
OTU856,ct
OTU857,yl
OTU859,ct
OTU86,ct
OTU86,hl
OTU86,ml
OTU86,xl
OTU86,yl
OTU860,yl
OTU861,hl
OTU862,hl
OTU862,xl
OTU863,ml
OTU865,hl
OTU866,yl
OTU867,ml
OTU868,hl
OTU868,ml
OTU869,ct
OTU87,ct
OTU87,hl
OTU87,ml
OTU87,xl
OTU87,yl
OTU870,hl
OTU870,xl
OTU872,hl
OTU873,hl
OTU874,hl
OTU876,ct
OTU877,ct
OTU878,ct
OTU88,ct
OTU88,hl
OTU88,ml
OTU88,xl
OTU88,yl
OTU880,xl
OTU882,ml
OTU883,yl
OTU888,ml
OTU89,ct
OTU89,xl
OTU89,yl
OTU890,yl
OTU891,hl
OTU891,ml
OTU891,xl
OTU891,yl
OTU892,hl
OTU892,ml
OTU893,xl
OTU893,yl
OTU894,hl
OTU895,ct
OTU895,hl
OTU895,yl
OTU896,ct
OTU896,hl
OTU896,ml
OTU896,xl
OTU897,yl
OTU899,ml
OTU9,ct
OTU9,hl
OTU9,ml
OTU9,xl
OTU9,yl
OTU90,hl
OTU90,ml
OTU90,xl
OTU90,yl
OTU900,ml
OTU902,yl
OTU903,ct
OTU903,yl
OTU904,xl
OTU904,yl
OTU905,hl
OTU906,ct
OTU906,ml
OTU908,hl
OTU908,ml
OTU908,xl
OTU908,yl
OTU91,ct
OTU91,hl
OTU91,ml
OTU91,xl
OTU91,yl
OTU912,yl
OTU913,ct
OTU915,ml
OTU917,yl
OTU919,ml
OTU92,ct
OTU92,hl
OTU92,xl
OTU92,yl
OTU920,hl
OTU921,yl
OTU925,ml
OTU926,hl
OTU928,ml
OTU93,ct
OTU93,hl
OTU93,ml
OTU93,xl
OTU93,yl
OTU931,yl
OTU935,hl
OTU936,xl
OTU938,ct
OTU939,ct
OTU94,ct
OTU94,hl
OTU94,ml
OTU94,yl
OTU940,ml
OTU946,ml
OTU947,hl
OTU947,ml
OTU949,ct
OTU949,hl
OTU949,ml
OTU949,xl
OTU949,yl
OTU95,ct
OTU95,hl
OTU95,ml
OTU95,xl
OTU95,yl
OTU950,hl
OTU951,yl
OTU952,hl
OTU952,yl
OTU953,hl
OTU953,ml
OTU954,xl
OTU955,ct
OTU955,xl
OTU956,hl
OTU956,ml
OTU959,yl
OTU96,ct
OTU96,hl
OTU96,ml
OTU96,xl
OTU96,yl
OTU960,hl
OTU960,xl
OTU962,hl
OTU963,ml
OTU963,xl
OTU964,ml
OTU968,hl
OTU968,ml
OTU97,xl
OTU97,yl
OTU971,ct
OTU971,hl
OTU971,ml
OTU971,yl
OTU973,ct
OTU976,ct
OTU98,ct
OTU98,hl
OTU98,ml
OTU98,xl
OTU98,yl
OTU981,ml
OTU987,ct
OTU99,ct
OTU99,hl
OTU99,xl
OTU99,yl
OTU990,ct
OTU990,hl
OTU990,xl
OTU990,yl
OTU991,ct
OTU991,yl
OTU992,yl
OTU996,hl
