	Geneid	log2(fc)	logCPM	pvalue	FDR
1	OTU12	10.7599125906077	15.093144928743	2.10524857688923e-109	2.51577204938263e-106
2	OTU24	-3.52824018991501	14.0391886809574	1.58875449490296e-39	9.49280810704517e-37
3	OTU8	2.7778135792879	15.4776073354997	4.53694186605401e-37	1.80721517664485e-34
4	OTU17	7.90394108001513	12.2867861857247	1.91595776305333e-35	5.68351805842967e-33
5	OTU10	2.88357595643846	14.6351721392734	2.37804102863166e-35	5.68351805842967e-33
6	OTU4	-2.17253554840857	16.9381734291833	1.71898291710021e-27	3.42364097655792e-25
7	OTU949	5.64632546045238	11.9255705298134	1.27859379439369e-25	2.18274226328637e-23
8	OTU11	2.48809358012372	13.6214787992339	1.86429237334097e-22	2.78478673267807e-20
9	OTU1	1.81472453950932	17.5378489921623	1.58799472619161e-20	2.10850410866553e-18
10	OTU53	6.88227410842957	11.4479757671873	2.26634814254717e-20	2.70828603034386e-18
11	OTU6	5.48496996272137	11.2727148432519	1.94955670290292e-17	2.11792750906271e-15
12	OTU13	-1.87584125414641	14.2792322855266	1.7267761301283e-16	1.7195812295861e-14
13	OTU33	-2.51626502412713	12.3886346085364	1.53288349253175e-14	1.40907367198111e-12
14	OTU26	2.48191620709249	12.4723184651899	1.77162645199937e-14	1.51220972152803e-12
15	OTU14	-1.5922258799854	14.7447562839963	1.25141439607369e-13	9.96960135538709e-12
16	OTU97	6.02732733664305	10.8190073628899	1.87133349597832e-12	1.39765220480881e-10
17	OTU5	1.35262991939892	16.187731155366	1.1128305208264e-11	7.82254395522086e-10
18	OTU128	5.93582519128791	10.7735883046631	1.70938170724472e-11	1.13483952230969e-09
19	OTU28	2.43540255240093	12.0006020257383	1.89916561852281e-11	1.19447521796566e-09
20	OTU677	3.74957717046081	11.08441948411	8.61234451684466e-11	5.14587584881469e-09
21	OTU34	-2.43000029250377	11.9830384731469	1.76723205073933e-10	1.00563919077786e-08
22	OTU35	-2.08083698646417	12.1279573289056	3.72345414493583e-10	2.02251259236287e-08
23	OTU115	5.55478599129806	10.5304894189027	1.62382245569658e-09	8.08528264398923e-08
24	OTU31	-3.37891090583696	11.2106250578837	1.6049457917772e-09	8.08528264398923e-08
25	OTU47	-2.92642914066378	11.4363201920728	1.94878521612561e-09	9.31519333308041e-08
26	OTU32	1.818340378881	12.4142033353055	4.81162545196912e-09	2.21149708273196e-07
27	OTU96	-2.58177279165176	11.5651763987761	5.19062640053593e-09	2.29733279579275e-07
28	OTU46	2.81335377569911	10.9626444845392	2.53495144274841e-08	1.08188106217298e-06
29	OTU9	1.11618203405804	14.9480136425956	6.70276341380519e-08	2.76200078603352e-06
30	OTU52	-3.07021418792669	11.0039950381188	1.61799631143962e-07	6.44501864056782e-06
31	OTU336	-3.28035678652412	10.8938554085173	2.60494438803974e-07	1.00416404635725e-05
32	OTU116	-3.5995410173554	10.7878987659463	4.04829158293138e-07	1.51178388800094e-05
33	OTU254	1.83000596792776	11.8786452347168	4.43418065639534e-07	1.60571087405831e-05
34	OTU98	-2.45435941715676	11.3820445172462	4.6337711631171e-07	1.62863427644851e-05
35	OTU55	-1.64275245806791	12.1959920679692	1.74818584334409e-06	5.96880595084624e-05
36	OTU43	-1.42693066476379	12.3798404092099	2.78933608815551e-06	9.25904618151622e-05
37	OTU15	1.2321469624138	12.8862307295212	3.3901457838045e-06	0.000109492546260713
38	OTU45	-1.94936841631245	11.4154260833014	3.63997073119416e-06	0.000114467500625711
39	OTU74	4.86580972648115	10.1773417924621	3.9692566110869e-06	0.000121622093596124
40	OTU18	1.26634875773427	12.6424001641715	4.95570647601765e-06	0.000148051730971027
41	OTU94	-4.74598871683038	10.2564527849019	7.39595296598207e-06	0.000215564970593868
42	OTU2046	-1.51090751954126	11.8548982572996	7.60206501933181e-06	0.000216296849954798
43	OTU2	0.870396917679583	16.2162788571429	8.37648766418922e-06	0.000227497789970594
44	OTU48	-2.31243806532377	11.0390746041644	8.34588618037113e-06	0.000227497789970594
45	OTU106	4.79570775235217	10.145736124812	1.38272164146621e-05	0.000359207035120026
46	OTU57	-2.3225959005958	10.88893040995	1.35856209328658e-05	0.000359207035120026
47	OTU178	-2.66557619027642	10.7641169113245	1.69482953431901e-05	0.000430919424151323
48	OTU1270	-1.42034130438871	11.9489373456987	3.42889063698102e-05	0.000853650898165067
49	OTU147	-2.98003949689637	10.4408206943518	4.33128482147281e-05	0.00105630313503265
50	OTU22	1.18563311348983	12.2564958969521	9.11028057210921e-05	0.0021773570567341
51	OTU99	2.67065287799152	10.4538826253472	0.000109450936184979	0.0025645856615892
52	OTU481	-3.34173990898119	10.2540650705607	0.000129589958490903	0.00297807693070441
53	OTU235	-3.10753986252678	10.1530868977805	0.000231832964266269	0.00522717721317343
54	OTU656	1.03885951538165	12.305846406752	0.0002558911100705	0.00566277549137494
55	OTU66	-2.10558743078771	10.6231175823118	0.00026947190112273	0.00585488948803022
56	OTU29	1.23447957834273	12.0988687195656	0.000310216507695689	0.00651590336777338
57	OTU54	-1.32912778441072	11.5480219776185	0.000310800411684588	0.00651590336777338
58	OTU908	4.1649831558216	9.89924015370707	0.000332546654981759	0.00685160780522762
59	OTU1213	1.58028439885954	11.0006521912218	0.000341498824478028	0.00691679822459734
60	OTU60	2.21031086093051	10.4006749584605	0.000371314933085706	0.00739535575062365
61	OTU7	-0.676001399475984	15.897025104687	0.000574647339778511	0.011257435590743
62	OTU102	4.17258087514754	9.90253114823798	0.000634861795874267	0.0118540600948398
63	OTU108	4.17258087514754	9.90253114823798	0.000634861795874267	0.0118540600948398
64	OTU238	-4.04490824351514	9.95849564765197	0.000634861795874267	0.0118540600948398
65	OTU255	-2.75074289156553	10.3350674220803	0.000827995405478744	0.0152223770699554
66	OTU152	4.04096268859689	9.85898832562443	0.0012164145859881	0.0220244762159966
67	OTU19	-0.91735652711675	12.3565121789154	0.00132339100774031	0.0236037649888011
68	OTU39	2.23201801230099	10.2598693791238	0.00136692435018305	0.0240216852715991
69	OTU2260	-2.12717593672241	10.4802571547871	0.00164291185230154	0.0280468523357192
70	OTU1412	-2.17210061331732	10.5043089812824	0.00164291185230154	0.0280468523357192
71	OTU2207	1.82700688528489	10.5651193659707	0.00168477273907951	0.0283563862422538
72	OTU126	-2.46924671253335	10.2029202551986	0.00188050143239405	0.0312111001626512
73	OTU133	4.0082375235498	9.84486200691036	0.00233925881920788	0.0345112875179435
74	OTU112	3.89655485260708	9.81418669598335	0.00233925881920788	0.0345112875179435
75	OTU1624	3.87625039361953	9.80545908189832	0.00233925881920788	0.0345112875179435
76	OTU64	-1.65832605871625	10.7881016444454	0.00233100748761076	0.0345112875179435
77	OTU263	-3.70265392564442	9.84326537290397	0.00233925881920788	0.0345112875179435
78	OTU273	-3.81163650493931	9.87508404158631	0.00233925881920788	0.0345112875179435
79	OTU140	-3.82028796371772	9.87950939385497	0.00233925881920788	0.0345112875179435
80	OTU159	-3.82853795471607	9.88382862688701	0.00233925881920788	0.0345112875179435
81	OTU1564	-3.9254155266355	9.91360578930843	0.00233925881920788	0.0345112875179435
82	OTU42	1.65862641828197	10.5808122245525	0.00252643144564556	0.0368181167993468
83	OTU1315	-1.20764746710302	11.5938320411929	0.00332592538625168	0.0478853112839851
84	OTU50	1.82164360439935	10.4687909492864	0.00391644490127264	0.0557160911550096
85	OTU182	3.73098644987226	9.76567682253638	0.00451531353475009	0.0574021241917697
86	OTU125	2.90619825781198	9.89839688047539	0.00426264348658437	0.0574021241917697
87	OTU87	2.50577847577096	10.004073198104	0.00426264348658437	0.0574021241917697
88	OTU136	-2.71669406100653	9.99774088419969	0.00426264348658437	0.0574021241917697
89	OTU68	-3.68165760255264	9.83247274282219	0.00451531353475009	0.0574021241917697
90	OTU282	-3.68183857755025	9.8326336178701	0.00451531353475009	0.0574021241917697
91	OTU777	-3.68953293356219	9.83640655752066	0.00451531353475009	0.0574021241917697
92	OTU79	-3.6900168689677	9.83671975117659	0.00451531353475009	0.0574021241917697
93	OTU162	-3.69052970059218	9.83705806069873	0.00451531353475009	0.0574021241917697
94	OTU119	-3.80214534280467	9.87026932876765	0.00451531353475009	0.0574021241917697
95	OTU164	-1.98515828329147	10.4110735858443	0.00615825974497615	0.077464425213121
96	OTU21	-0.680457892855997	13.5917440647151	0.00623815236848691	0.0776520008368944
97	OTU283	-2.50352681379587	9.92702445903093	0.00761349527724026	0.0909812685630211
98	OTU208	-2.5061326911851	9.9283829426566	0.00761349527724026	0.0909812685630211
99	OTU242	-2.50787076546085	9.92929325937183	0.00761349527724026	0.0909812685630211
100	OTU191	-2.60639514216813	9.95783053996792	0.00761349527724026	0.0909812685630211
101	OTU1401	3.54594692751166	9.71573959781587	0.0087484199735783	0.102493743808099
102	OTU160	-3.40369803850029	9.75448230495215	0.0087484199735783	0.102493743808099
103	OTU141	-2.8876651062976	10.0634906559431	0.00922067389550445	0.106977721409008
104	OTU78	1.23726405935224	10.7110186428234	0.0114842943060271	0.131958958612523
105	OTU86	1.63677683471899	10.4976328415077	0.0122740804756594	0.139690725413457
106	OTU317	-2.37581060430871	9.88668621952597	0.0135677011514057	0.152956630904998
107	OTU51	-1.43315395766452	10.6687732921934	0.0143999272120427	0.160821616994309
108	OTU90	3.5269177019134	9.70762077122302	0.0170146435706602	0.179933620061406
109	OTU223	3.35291950335197	9.67142228602831	0.0170146435706602	0.179933620061406
110	OTU356	3.35291950335197	9.67142228602831	0.0170146435706602	0.179933620061406
111	OTU161	-3.23013082259898	9.70894413210727	0.0170146435706602	0.179933620061406
112	OTU130	-3.39230353591145	9.74862564092494	0.0170146435706602	0.179933620061406
113	OTU332	-3.39914086439735	9.75203431752546	0.0170146435706602	0.179933620061406
114	OTU93	-1.60152279466472	10.3958794028214	0.0199939672564322	0.209585884837162
115	OTU120	-1.45167251758253	10.5923175726007	0.0204167832364971	0.212157008414035
116	OTU305	2.73050457115264	9.84337141624483	0.0240998059746301	0.244061594404093
117	OTU82	1.96799834606983	9.84492251957288	0.0240998059746301	0.244061594404093
118	OTU1277	-2.35315056462425	9.87727895119587	0.0240998059746301	0.244061594404093
119	OTU27	-0.640719399805743	12.2579511631057	0.029329315541496	0.294525479597376
120	OTU72	-1.40490897616982	10.4345777670058	0.0295947451643817	0.294714337261968
121	OTU103	3.32984586416162	9.66162678599499	0.0332190660189079	0.310985184763222
122	OTU397	1.53809206407807	10.2519479880609	0.0333105469871903	0.310985184763222
123	OTU166	-1.32177840335435	10.2752829556301	0.0333105469871903	0.310985184763222
124	OTU155	-3.02838371376384	9.65964657884543	0.0332190660189079	0.310985184763222
