	logFC	logCPM	PValue	FDR	sig	color
OTU68	-3.681657603	9.832472743	0.004515314	0.057402124	none	none
OTU282	-3.681838578	9.832633618	0.004515314	0.057402124	none	none
OTU777	-3.689532934	9.836406558	0.004515314	0.057402124	none	none
OTU79	-3.690016869	9.836719751	0.004515314	0.057402124	none	none
OTU162	-3.690529701	9.837058061	0.004515314	0.057402124	none	none
OTU119	-3.802145343	9.870269329	0.004515314	0.057402124	none	none
OTU164	-1.985158283	10.41107359	0.00615826	0.077464425	none	none
OTU21	-0.680457893	13.59174406	0.006238152	0.077652001	none	none
OTU283	-2.503526814	9.927024459	0.007613495	0.090981269	none	none
OTU208	-2.506132691	9.928382943	0.007613495	0.090981269	none	none
OTU242	-2.507870765	9.929293259	0.007613495	0.090981269	none	none
OTU191	-2.606395142	9.95783054	0.007613495	0.090981269	none	none
OTU1401	3.545946928	9.715739598	0.00874842	0.102493744	none	none
OTU160	-3.403698039	9.754482305	0.00874842	0.102493744	none	none
OTU141	-2.887665106	10.06349066	0.009220674	0.106977721	none	none
OTU78	1.237264059	10.71101864	0.011484294	0.131958959	none	none
OTU86	1.636776835	10.49763284	0.01227408	0.139690725	none	none
OTU317	-2.375810604	9.88668622	0.013567701	0.152956631	none	none
OTU51	-1.433153958	10.66877329	0.014399927	0.160821617	none	none
OTU90	3.526917702	9.707620771	0.017014644	0.17993362	none	none
OTU223	3.352919503	9.671422286	0.017014644	0.17993362	none	none
OTU356	3.352919503	9.671422286	0.017014644	0.17993362	none	none
OTU161	-3.230130823	9.708944132	0.017014644	0.17993362	none	none
OTU130	-3.392303536	9.748625641	0.017014644	0.17993362	none	none
OTU332	-3.399140864	9.752034318	0.017014644	0.17993362	none	none
OTU93	-1.601522795	10.3958794	0.019993967	0.209585885	none	none
OTU120	-1.451672518	10.59231757	0.020416783	0.212157008	none	none
OTU305	2.730504571	9.843371416	0.024099806	0.244061594	none	none
OTU82	1.967998346	9.84492252	0.024099806	0.244061594	none	none
OTU1277	-2.353150565	9.877278951	0.024099806	0.244061594	none	none
OTU27	-0.6407194	12.25795116	0.029329316	0.29452548	none	none
